internalTaxonId,useTradeCode,useTradeName,international,national
186162,3,Medicine - human & veterinary,,
177756483,9,Construction or structural materials,,true
208598052,1,Food - human,,
36652,9,Construction or structural materials,,
31170,6,Other chemicals,,
31170,11,Other household goods,,true
31170,9,Construction or structural materials,,true
150087536,1,Food - human,,true
150087712,1,Food - human,,true
158638,1,Food - human,,
33018,9,Construction or structural materials,,
33022,9,Construction or structural materials,,
33023,9,Construction or structural materials,,
175655434,13,"Pets/display animals, horticulture",true,true
175655434,16,Establishing ex-situ production *,true,true
176680211,1,Food - human,,
176856760,3,Medicine - human & veterinary,,
176856760,7,Fuels,,
176856760,9,Construction or structural materials,,
176857958,7,Fuels,,
191681904,1,Food - human,,
168904,13,"Pets/display animals, horticulture",true,
168904,16,Establishing ex-situ production *,true,
175218,13,"Pets/display animals, horticulture",true,
33647,7,Fuels,,true
210010463,1,Food - human,,
210013452,2,Food - animal,,true
210013949,2,Food - animal,,
210013949,3,Medicine - human & veterinary,,
22679330,13,"Pets/display animals, horticulture",true,
22679330,1,Food - human,true,true
225970375,11,Other household goods,,
225970375,7,Fuels,,
225970375,2,Food - animal,,
82031633,1,Food - human,,
33007,11,Other household goods,true,true
33007,3,Medicine - human & veterinary,,true
33007,9,Construction or structural materials,true,true
33007,17,Other (free text),true,true
22681585,1,Food - human,,
61985348,3,Medicine - human & veterinary,true,true
61985348,13,"Pets/display animals, horticulture",true,
253632034,3,Medicine - human & veterinary,true,true
179054974,3,Medicine - human & veterinary,,
202483877,3,Medicine - human & veterinary,,
38036,1,Food - human,,
38036,3,Medicine - human & veterinary,,
224088253,3,Medicine - human & veterinary,,
224101293,1,Food - human,,
15954,10,"Wearing apparel, accessories",true,true
15954,15,Sport hunting/specimen collecting,true,true
15954,3,Medicine - human & veterinary,true,true
219,10,"Wearing apparel, accessories",true,true
219,12,"Handicrafts, jewellery, etc.",true,true
219,13,"Pets/display animals, horticulture",true,true
219,15,Sport hunting/specimen collecting,true,true
219,16,Establishing ex-situ production *,true,true
219,17,Other (free text),true,true
61780183,9,Construction or structural materials,,true
61987931,11,Other household goods,true,true
61987931,9,Construction or structural materials,true,true
61987931,2,Food - animal,,
62038695,1,Food - human,,true
62038695,3,Medicine - human & veterinary,,true
62038695,17,Other (free text),,
31219,3,Medicine - human & veterinary,,true
117894243,3,Medicine - human & veterinary,,true
117894243,4,Poisons,,true
150213910,9,Construction or structural materials,,true
169056310,9,Construction or structural materials,,true
169578317,3,Medicine - human & veterinary,,true
169578317,7,Fuels,,true
169578317,6,Other chemicals,,
177944393,9,Construction or structural materials,,
22693431,1,Food - human,,true
22693431,15,Sport hunting/specimen collecting,,true
210014331,13,"Pets/display animals, horticulture",,true
22693225,1,Food - human,,true
239905380,3,Medicine - human & veterinary,,
239906076,3,Medicine - human & veterinary,,
22680064,13,"Pets/display animals, horticulture",true,true
22680064,1,Food - human,,true
22693749,1,Food - human,,true
22693749,15,Sport hunting/specimen collecting,,true
22693447,1,Food - human,,
22693447,15,Sport hunting/specimen collecting,true,
2888,12,"Handicrafts, jewellery, etc.",true,true
2888,1,Food - human,true,true
2888,3,Medicine - human & veterinary,true,true
2888,15,Sport hunting/specimen collecting,,true
22693464,1,Food - human,,true
22685513,13,"Pets/display animals, horticulture",true,true
70205537,16,Establishing ex-situ production *,,
70205537,1,Food - human,,
22037,13,"Pets/display animals, horticulture",,true
22041,1,Food - human,,true
22041,13,"Pets/display animals, horticulture",,true
22041,3,Medicine - human & veterinary,,true
30864,1,Food - human,,
30864,2,Food - animal,,
15951,10,"Wearing apparel, accessories",,
15951,16,Establishing ex-situ production *,,true
15951,15,Sport hunting/specimen collecting,true,true
15951,12,"Handicrafts, jewellery, etc.",true,true
15951,3,Medicine - human & veterinary,true,true
